"Id","Name","Category","Price","Quantity","Description","Supplier","ImageUrl"
1,"Red T-shirt","Apparel",19.99,178,"Comfortable cotton T-shirt in red.","Fashion Supplier Co.","https://media.istockphoto.com/id/471188329/photo/plain-red-tee-shirt-isolated-on-white-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=OY8Lp2ULfJOfXjPmhjtShnFJfR47QCPbGzyMfyWyfRc="
2,"Yoga Mat","Equipment",29.99,193,"Non-slip yoga mat for a stable practice.","Fitness Equipment Ltd.","https://media.istockphoto.com/id/1907365112/photo/red-exercise-mat-object-shadow-clipping-path.webp?a=1&b=1&s=612x612&w=0&k=20&c=bjQAGNTCMNU-7EVVGdEOF4nke3fWeaVicFspQSqFj6E="
3,"Dumbbell Set","Equipment",99.99,116,"Adjustable dumbbells for strength training.","Power Gear","https://media.istockphoto.com/id/527893216/photo/dumbbell-row.webp?a=1&b=1&s=612x612&w=0&k=20&c=cUDUK9fCRasuNWi6N41-R3VFcWpkUH3S_TDFq3z1BTI="
4,"Sports Water Bottle","Apparel",14.99,58,"Durable water bottle for athletes.","GearUp Sports","https://media.istockphoto.com/id/1784637775/photo/woman-holding-bottle-of-drink-on-light-blue-background-closeup.webp?a=1&b=1&s=612x612&w=0&k=20&c=EQVztJNNrTHwg_bqA6t6zyujY-9GFGudSe5Kipa32r4="
5,"Running Shoes","Footwear",59.99,117,"Comfortable and breathable running shoes.","Stride Footwear","https://media.istockphoto.com/id/1688015574/photo/white-sneaker-isolated-on-white-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=6JRmdS5V14lvIBrVvfu8Q6qHgZ8-gYRr4X45xXrByp8="
6,"Basketball","Sports",25.99,89,"High-quality basketball for outdoor play.","SportsEquip","https://media.istockphoto.com/id/1991934907/photo/orange-basketball-ball-on-white-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=PGKJu-M6SevvRnp6NDtkwCtxE8KpDgLjRW_6OFMJzR0="
7,"Baseball Bat","Sports",35.99,80,"Wooden baseball bat for practice.","Pro Sports","https://media.istockphoto.com/id/171210918/photo/baseball-bat.webp?a=1&b=1&s=612x612&w=0&k=20&c=g-biwhenwM6pxq7OQmP0I9YyS2QziUGQnjcMI64QC0A="
8,"Soccer Ball","Sports",15.99,97,"Official soccer ball for matches.","Soccer Essentials","https://media.istockphoto.com/id/1715139919/photo/classic-football-ball-isolated-on-white.webp?a=1&b=1&s=612x612&w=0&k=20&c=MfuEjNu9yruJtFjm1D9PS6G3ehxC4-JDn9cA1xvhSn8="
9,"Football Gloves","Accessories",39.99,47,"Pro-level football gloves for better grip.","Gridiron Gear","https://media.istockphoto.com/id/1263264956/photo/pink-and-black-goalkeeper-glove-isolated-on-white.webp?a=1&b=1&s=612x612&w=0&k=20&c=JWtbwfziWPPwx5Y4eAKaukJNivMkhoG5XyBIO6wBld4="
10,"Gym Shorts","Apparel",12.99,160,"Breathable gym shorts for workouts.","FlexFit Apparel","https://media.istockphoto.com/id/627759274/photo/asian-women-with-prosthetic-leg-running-in-the-desert.webp?a=1&b=1&s=612x612&w=0&k=20&c=JGrWL6UVc7d_mXkDlYR_dEveOi9EPLATQo1U_CpdNbU="
